1.469306414,1.557215790,1.659689178,1.744035945,1.805304623,1.894986824,2.383918403,2.876467222,2.896725786,2.907838452,2.943957484
1.024597388,1.089188585,1.185225583,1.269793460,1.414000000,1.560349506,1.933383200,2.312546281,2.733492930,2.648787346,2.667484688
3.653652695,3.707060629,3.795037017,3.818702290,4.024195416,3.913088381,5.745571134,5.801697531,5.382327515,5.210249005,4.828617299
6.074702886,6.021734342,6.126421906,6.433542681,6.326748035,5.852089638,8.278094001,7.676217098,6.923215204,6.843200026,6.026129339
9.957386364,11.158373669,10.205047619,9.167324099,9.050253547,8.356130739,11.298899254,9.154026711,9.141683137,10.876431596,10.526013873
15.833585301,23.445618397,19.016526396,13.415188335,14.227695074,10.920482614,13.049550969,11.032723501,11.240505787,13.442353498,12.109139536
1.586734034,2.061090737,2.604840722,3.224256368,3.867593648,4.947587562,7.626715129,8.501684481,8.376294438,7.892344869,6.928727136
1.029647245,1.100910025,1.192597154,1.297557365,1.466584594,1.820645016,7.173486776,8.358663215,8.362363221,7.775682566,6.713129247
3.576662909,6.985084595,13.657957896,13.292668229,13.037602752,16.031274404,15.852155501,14.704484410,13.246699402,12.059629781,10.636959085
14.984140625,15.329209252,17.913991163,23.067998534,22.121194311,22.366019417,20.855611271,17.652599250,15.411874073,13.637135956,11.921063140
20.990716026,25.843295104,28.864906291,28.355222303,31.942653336,32.603366821,26.907241591,20.483506671,17.766504185,15.611699487,13.150261302
29.203066038,39.456164583,39.060784314,37.609052475,34.521847473,39.892983585,31.223658075,24.401287978,19.521690323,18.359407602,13.945779093